Name of Judge,Date of appointment to SC,Date of retirement from SC,Whether CJI of SC,"If yes, date of appointment as CJI",Date of Birth,State of Birth,Gender,Religion,Caste (Savarna/ OBC/SC/ST),Highest Degree Obtained from university,Year of Enrollment to Bar,Which State Bar was he enrolled in,Was Senior Advocate?,"If Yes, Year of appointment as Senior Advocate",Whether direct appointee to SC?,"If no, parent HC","Nature of Appointment to parent HC (1 = Permanent, 0=Addl, 3= DNA)",Date of appointment to such parent HC addln.,Whether made permanent at parent HC [Y/N],Date of appointment to such parent HC permanently,Appointment in any other HC as a judge?,Name of Such other  1,Name of Such other  2,Date of appointment to such  2,Whether CJ of a ? Y/N,"If Y, how many?",Date of appointment as Chief Justice of  (first such appointment).,Name of the HC where appointed as Chief Justice  (first such appointment).,Date of Second Appointment as CJ,Name of the HC where appointed as Chief Justice  (second such appointment).,Date of Third Appointment as CJ,Name of the HC where appointed as Chief Justice  (Third such appointment).,Whether a trial court judge,Whether a government lawyer (public prosecutor/ standing counsel for a state/ law officer),"If yes, what type",Area of Practice 1 (in order mentioned in profile),Area of Practice 2,Area of Practice 3,Area of Practice 4,Area of Practice 5,Area of Practice 6,Area of Practice 7,Area of Practice 8,Area of Practice 9
Sharad Arvind Bobde,12-04-2013,23-04-2021,1,18-11-2019,24-04-1956,Maharashtra,0,NA,NA,Nagpur University,1978,Maharashtra,1,1998,0,Bombay,NA,NA,1,29-03-2000,1,Madhya Pradesh,NA,NA,1,1,16-10-2012,Madhya Pradesh,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N.V. Ramana,17-02-2014,26-08-2022,0,NA,27-08-1957,Andhra Pradesh,0,NA,NA,NA,1983,Andhra Pradesh,0,NA,0,Andhra Pradesh,NA,NA,1,27-06-2000,1,Delhi,NA,NA,1,2,10-03-2013,Andhra Pradesh,02-09-2013,Delhi,NA,NA,0,1,NA,Civil,Criminal,Constitutional,Labour,Service,Election,Inter-state river laws,NA,NA
R.F. Nariman,07-07-2014,12-08-2021,0,NA,13-08-1956,NA,0,NA,NA,"Faculty of Law, Delhi & Harvard",1979,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,Maritime Law,Compartive,Civil,Constitutional Law,NA,NA,NA,NA,NA
Uday Umesh Lalit,13-08-2014,08-11-2022,0,NA,09-11-1957,NA,0,NA,NA,NA,1983,NA,1,2004,1,NA,DNA,DNA,DNA,DNA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A.M. Khanwilkar,13-05-2016,29-07-2022,0,NA,30-07-1957,Maharashtra,0,NA,NA,"K.C. Law College, Mumbai",1982,NA,0,NA,0,Bombay,NA,NA,1,29-03-2000,1,Himachal Pradesh,Madhya Pradesh,NA,1,2,04-04-2013,HImachal Pradesh,24-11-2013,Madhya Pradesh,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D.Y. Chandrachud,13-05-2016,10-11-2024,0,NA,11-11-1959,NA,0,NA,NA,"Campus Law Centre, Delhi University",NA,NA,1,1998,0,Bombay,NA,NA,1,29-03-2000,NA,NA,NA,NA,1,1,31-10-2013,Allahabad,NA,NA,NA,NA,0,1,Solicitor General,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ashok Bhushan,13-05-2016,04-07-2021,0,NA,05-07-1956,Uttar Pradesh,0,NA,NA,Allahabad University,1979,Uttar Pradesh,NA,NA,0,Allahabad,NA,NA,1,24-04-2001,1,Kerala,NA,NA,1,2,01-08-2014,Kerala,#2015-03-26,Kerala,NA,NA,0,1,NA,Civil,NA,NA,NA,NA,NA,NA,NA,NA
L. Nageswara Rao,13-05-2016,07-06-2022,0,NA,08-06-1957,Andhra Pradesh,0,NA,NA,"Nagarjuna University, Andhra Pradesh",1982,Andhra Pradesh,1,2000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,1,Additional Solicitor General,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sanjay Kishan Kaul,17-02-2017,25-12-2023,0,NA,26-12-1958,NA,0,NA,NA,"Campus Law Centre, Delhi University",1982,Delhi,1,1999,0,Delhi,0,03-05-2001,1,02-05-2003,0,NA,NA,NA,1,3,23-09-2012,Delhi,01-06-2013,Punjab and Haryana,"July 26, 2014",Madras,0,1,NA,Commercial,Civil,Writ,Original,Comany jurisdictions,NA,NA,NA,NA
Mohan M. Shantanagoudar,17-02-2017,04-05-2023,0,NA,05-05-1958,NA,0,NA,NA,NA,1980,NA,0,NA,0,Karnataka,0,12-05-2003,1,24-09-2004,1,Kerala,NA,NA,1,1,01-08-2016,Kerala,NA,NA,NA,NA,0,1,State Public Prosecutor,Civil,Criminal,Constitutional matters(private),NA,NA,NA,NA,NA,NA
