Judges,Date of Appointment,Whether died in office,Whether resigned from office,Date of Birth,Intended Date of Retirement,Cadre of Appointment,Parent High Court,Appointing Authority,Gender,Schooling - Whether Information available in the SC website,Graduating Institution- Whether infromation available in the SC Website,Gracuation Subject- Whether information available in SC website,institution from the judge got his/her law degree- Whether information available in SC Website,year of being awarded the law degree -Whether information available in SC Website,year of enrollment at the Bar - Whether information available in SC website,area of legal practice- Whether information available in SC Website,Chamber details- Whether information available in the SC Website,Government Emapanelment- Whether information available in SC website,Empanelment in Private Corporations- Whether information available in SC website
Harilal Jekisundas Kania,20 June 1946,Yes,No,03-11-1890,02 November 1955,Hc-Bar,Bombay,british,Male,No,Yes,No,Yes,No,Yes,No,No,No,No
Sir Saiyid Fazl Ali,09 June 1947,No,No,19-09-1886,18 September 1951,Hc-Bar,Patna,british,Male,Yes,Yes,No,No,No,No,No,No,No,No
M. Patanjali Sastri,06 December 1947,No,No,04-01-1889,03 January 1954,Hc-Bar,Madras,executive,Male,No,Yes,No,Yes,No,No,No,No,No,No
Mehr Chand Mahajan,04 October 1948,No,No,23-12-1889,22 December 1954,Hc-Bar,Lahore,executive,Male,No,No,No,No,No,No,No,No,No,No
Bijan Kumar Mukherjea,14 October 1948,No,Yes,15-08-1891,14 August 1956,Hc-Bar,Calcutta,executive,Male,No,Yes,No,Yes,No,Yes,No,No,Yes,No
Sudhi Ranjan Das,20 January 1950,No,No,01-10-1894,30 September 1959,Hc-Bar,Calcutta,executive,Male,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No
N. Chandrasekhara Aiyar,23 September 1950,No,No,25-01-1888,24 January 1953,HC-Service,Madras,executive,Male,No,Yes,No,Yes,No,Yes,No,No,No,No
Vivian Bose,05 March 1951,No,No,09-06-1891,08 June 1956,Hc-Bar,Madhya Pradesh,executive,Male,No,Yes,No,Yes,No,Yes,No,No,Yes,No
Ghulam Hasan,08 September 1952,Yes,No,03-07-1891,02 July 1956,Hc-Bar,Allahabad,executive,Male,No,No,No,No,No,No,No,No,No,No
Natwarlal Harilal Bhagwati,08 September 1952,No,No,07-08-1894,06 June 1959,Hc-Bar,Bombay,executive,Male,No,Yes,No,No,Yes,Yes,No,No,No,No
B. Jagannadhadas,09 March 1953,No,Yes,27-07-1893,26 July 1958,Hc-Bar,Orissa,executive,Male,No,Yes,No,No,Yes,Yes,Yes,No,No,No
T.L. Venkatarama Aiyyar,04 January 1954,No,No,25-11-1893,24 November 1958,Hc-Bar,Madras,executive,Male,No,Yes,No,Yes,Yes,Yes,No,Yes,No,No
Bhuvneshwar Prasad Sinha,03 December 1954,No,No,01-02-1899,31 January 1964,Hc-Bar,Patna,executive,Male,Yes,Yes,No,Yes,No,No,No,No,No,No
Syed Jaffer Imam,10 January 1955,No,Yes,18 April 1900,17 April 1965,Hc-Bar,Patna,executive,Male,Yes,No,No,No,No,Yes,No,No,Yes,No
S.K. Das,30 April 1956,No,No,03-09-1898,02 September 1963,Hc-Bar,Patna,executive,Male,Yes,No,No,No,No,No,No,No,No,No
P. Govinda Menon,01 September 1956,Yes,No,10-09-1896,09 September 1961,Hc-Bar,Madras,executive,Male,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No
J.L. Kapur,14 January 1957,No,No,13-12-1897,12 December 1962,Hc-Bar,Punjab and Haryana,executive,Male,No,Yes,No,No,Yes,No,No,No,No,No
P.B. Gajendragadkar,17 January 1957,No,No,16 March 1901,15 March 1966,Hc-Bar,Bombay,executive,Male,Yes,Yes,No,Yes,Yes,No,No,No,No,No
A.K. Sarkar,04 March 1957,No,No,29 June 1901,29 June 1966,Hc-Bar,Calcutta,executive,Male,Yes,Yes,No,Yes,No,No,No,No,No,No
K. Subba Rao,31 January 1958,No,Yes,15 July 1902,14 July 1967,Hc-Bar,Madras,executive,Male,No,Yes,No,Yes,No,No,No,No,No,No
K.N. Wanchoo,11 August 1958,No,No,25 February 1903,24 February 1968,Hc-Bar,Allahabad,executive,Male,Yes,No,No,No,No,No,No,No,No,No
M. Hidayatullah,01 December 1958,No,No,17 December 1905,16 December 1970,Hc-Bar,Madhya Pradesh,executive,Male,Yes,No,No,No,No,Yes,No,No,Yes,No
K.C. Das Gupta,24 August 1959,No,No,03 January 1901,02 January 1965,Hc-Bar,Calcutta,executive,Male,Yes,No,No,No,No,Yes,No,No,No,No
J.C. Shah,12 October 1959,No,No,22 January 1906,21 January 1971,Hc-Bar,Bombay,executive,Male,Yes,No,No,No,No,No,No,No,No,No
N. Rajagopala Ayyangar,27 July 1960,No,No,15-12-1899,14 December 1964,Hc-Bar,Madras,executive,Male,No,No,No,No,No,Yes,No,Yes,No,No
Raghubar Dayal,27 July 1960,No,No,26 October 1900,25 October 1965,Hc-Bar,Allahabad,executive,Male,Yes,No,No,No,No,No,No,No,No,No
